2026-06-01 11:14:33.584 [INFO] iCON P1-M vMix Bridge starting. Version 1.0.0.0
2026-06-01 11:14:33.586 [INFO] Log file: C:\Users\THEDUDERACK\AppData\Local\IconP1MVmixBridge\logs\bridge-20260601-111433.log
2026-06-01 11:14:33.701 [INFO] Loaded profile from C:\Users\THEDUDERACK\AppData\Local\IconP1MVmixBridge\profile.json
2026-06-01 11:14:33.815 [INFO] MIDI input device: 0: iCON P1-M
2026-06-01 11:14:33.815 [INFO] MIDI input device: 1: MIDIIN2 (iCON P1-M)
2026-06-01 11:14:33.815 [INFO] MIDI input device: 2: MIDIIN3 (iCON P1-M)
2026-06-01 11:14:33.815 [INFO] MIDI input device: 3: MIDIIN4 (iCON P1-M)
2026-06-01 11:14:33.820 [INFO] MIDI output device: 0: Microsoft GS Wavetable Synth
2026-06-01 11:14:33.821 [INFO] MIDI output device: 1: iCON P1-M
2026-06-01 11:14:33.821 [INFO] MIDI output device: 2: MIDIOUT2 (iCON P1-M)
2026-06-01 11:14:33.821 [INFO] MIDI output device: 3: MIDIOUT3 (iCON P1-M)
2026-06-01 11:14:33.821 [INFO] MIDI output device: 4: MIDIOUT4 (iCON P1-M)
2026-06-01 11:14:33.827 [INFO] MIDI refresh complete. Inputs: 4, outputs: 5
2026-06-01 11:14:33.827 [INFO] Selected MIDI input 'iCON P1-M', output 'iCON P1-M'
2026-06-01 11:14:33.827 [INFO] Main window loaded
2026-06-01 11:14:33.891 [INFO] Bridge assignment API listening at http://127.0.0.1:8097/api
2026-06-01 11:14:33.898 [INFO] Removed app from Windows startup
2026-06-01 11:14:33.901 [INFO] Saved profile to C:\Users\THEDUDERACK\AppData\Local\IconP1MVmixBridge\profile.json
2026-06-01 11:14:34.122 [DEBUG] Motor feedback ch 2: 100% raw 16383; reason=vMix poll logical ch 2; suppress incoming until 11:14:35.121
2026-06-01 11:14:34.122 [DEBUG] Motor feedback ch 3: 100% raw 16383; reason=vMix poll logical ch 3; suppress incoming until 11:14:35.122
2026-06-01 11:14:34.122 [DEBUG] Motor feedback ch 4: 100% raw 16383; reason=vMix poll logical ch 4; suppress incoming until 11:14:35.122
2026-06-01 11:14:34.122 [DEBUG] Motor feedback ch 5: 44% raw 7209; reason=vMix poll logical ch 5; suppress incoming until 11:14:35.122
2026-06-01 11:14:34.122 [DEBUG] Motor feedback ch 6: 63% raw 10321; reason=vMix poll logical ch 6; suppress incoming until 11:14:35.122
2026-06-01 11:14:34.122 [DEBUG] Motor feedback ch 7: 100% raw 16383; reason=vMix poll logical ch 7; suppress incoming until 11:14:35.122
2026-06-01 11:14:46.322 [INFO] Removed app from Windows startup
2026-06-01 11:14:46.323 [INFO] Saved profile to C:\Users\THEDUDERACK\AppData\Local\IconP1MVmixBridge\profile.json
2026-06-01 11:14:46.341 [INFO] Opened MIDI input iCON P1-M
2026-06-01 11:14:46.359 [INFO] Opened MIDI output iCON P1-M
2026-06-01 11:14:46.362 [INFO] Bridge connected
2026-06-01 11:14:46.376 [DEBUG] Sent iCON display colors: Red, Green, Blue, Orange, Pink, Pink, Pink, Blue
2026-06-01 11:14:47.753 [DEBUG] MIDI received: status 90, data1 68, data2 7F, channel 1, command 90
2026-06-01 11:14:47.753 [DEBUG] MIDI fader touch ch 1: on
2026-06-01 11:14:47.766 [DEBUG] MIDI received: status E0, data1 10, data2 00, channel 1, command E0
2026-06-01 11:14:47.767 [DEBUG] MIDI fader physical ch 1, logical ch 1: 0.1% raw 16; touched=True
2026-06-01 11:14:47.836 [DEBUG] MIDI received: status E0, data1 0C, data2 00, channel 1, command E0
2026-06-01 11:14:47.836 [DEBUG] Ignored duplicate fader ch 1: 0.07% raw 12; last sent 0.1%
2026-06-01 11:14:47.838 [DEBUG] vMix HTTP fader command sent. Function=SetVolume, Input=a53a9359-7624-4bac-9fb4-185d71025606, Value=0
2026-06-01 11:14:47.850 [DEBUG] MIDI received: status E0, data1 08, data2 00, channel 1, command E0
2026-06-01 11:14:47.850 [DEBUG] Ignored duplicate fader ch 1: 0.05% raw 8; last sent 0.1%
2026-06-01 11:14:47.958 [DEBUG] MIDI received: status E0, data1 04, data2 00, channel 1, command E0
2026-06-01 11:14:47.958 [DEBUG] Ignored duplicate fader ch 1: 0.02% raw 4; last sent 0.1%
2026-06-01 11:14:47.998 [DEBUG] MIDI received: status E0, data1 00, data2 00, channel 1, command E0
2026-06-01 11:14:47.998 [DEBUG] Ignored duplicate fader ch 1: 0% raw 0; last sent 0.1%
2026-06-01 11:14:48.520 [DEBUG] MIDI received: status E0, data1 28, data2 01, channel 1, command E0
2026-06-01 11:14:48.520 [DEBUG] MIDI fader physical ch 1, logical ch 1: 1.03% raw 168; touched=True
2026-06-01 11:14:48.525 [DEBUG] MIDI received: status E0, data1 08, data2 02, channel 1, command E0
2026-06-01 11:14:48.525 [DEBUG] MIDI fader physical ch 1, logical ch 1: 1.61% raw 264; touched=True
2026-06-01 11:14:48.530 [DEBUG] MIDI received: status E0, data1 64, data2 02, channel 1, command E0
2026-06-01 11:14:48.530 [DEBUG] MIDI fader physical ch 1, logical ch 1: 2.17% raw 356; touched=True
2026-06-01 11:14:48.536 [DEBUG] MIDI received: status E0, data1 54, data2 03, channel 1, command E0
2026-06-01 11:14:48.536 [DEBUG] MIDI fader physical ch 1, logical ch 1: 2.86% raw 468; touched=True
2026-06-01 11:14:48.541 [DEBUG] MIDI received: status E0, data1 4C, data2 04, channel 1, command E0
2026-06-01 11:14:48.541 [DEBUG] MIDI fader physical ch 1, logical ch 1: 3.59% raw 588; touched=True
2026-06-01 11:14:48.546 [DEBUG] MIDI received: status E0, data1 50, data2 05, channel 1, command E0
2026-06-01 11:14:48.546 [DEBUG] MIDI fader physical ch 1, logical ch 1: 4.39% raw 720; touched=True
2026-06-01 11:14:48.548 [DEBUG] vMix HTTP fader command sent. Function=SetVolume, Input=a53a9359-7624-4bac-9fb4-185d71025606, Value=4
2026-06-01 11:14:48.552 [DEBUG] MIDI received: status E0, data1 74, data2 06, channel 1, command E0
2026-06-01 11:14:48.552 [DEBUG] MIDI fader physical ch 1, logical ch 1: 5.4% raw 884; touched=True
