2026-06-02 14:02:36.829 [INFO] iCON P1-M vMix Bridge starting. Version 1.0.0.0
2026-06-02 14:02:36.830 [INFO] Log file: C:\Users\THEDUDERACK\AppData\Local\IconP1MVmixBridge\logs\bridge-20260602-140236.log
2026-06-02 14:02:37.135 [INFO] Loaded profile from C:\Users\THEDUDERACK\AppData\Local\IconP1MVmixBridge\profile.json
2026-06-02 14:02:37.293 [INFO] MIDI input device: 0: iCON P1-M
2026-06-02 14:02:37.293 [INFO] MIDI input device: 1: MIDIIN2 (iCON P1-M)
2026-06-02 14:02:37.293 [INFO] MIDI input device: 2: MIDIIN3 (iCON P1-M)
2026-06-02 14:02:37.293 [INFO] MIDI input device: 3: MIDIIN4 (iCON P1-M)
2026-06-02 14:02:37.299 [INFO] MIDI output device: 0: Microsoft GS Wavetable Synth
2026-06-02 14:02:37.299 [INFO] MIDI output device: 1: iCON P1-M
2026-06-02 14:02:37.299 [INFO] MIDI output device: 2: MIDIOUT2 (iCON P1-M)
2026-06-02 14:02:37.299 [INFO] MIDI output device: 3: MIDIOUT3 (iCON P1-M)
2026-06-02 14:02:37.299 [INFO] MIDI output device: 4: MIDIOUT4 (iCON P1-M)
2026-06-02 14:02:37.306 [INFO] MIDI refresh complete. Inputs: 4, outputs: 5
2026-06-02 14:02:37.306 [INFO] Selected MIDI input 'iCON P1-M', output 'iCON P1-M'
2026-06-02 14:02:37.306 [INFO] Main window loaded
2026-06-02 14:02:37.385 [ERROR] Could not start assignment API on port 8097
2026-06-02 14:02:37.398 [ERROR] System.Net.Sockets.SocketException (10048): Only one usage of each socket address (protocol/network address/port) is normally permitted.
   at System.Net.Sockets.Socket.UpdateStatusAfterSocketErrorAndThrowException(SocketError error, Boolean disconnectOnFailure, String callerName)
   at System.Net.Sockets.Socket.DoBind(EndPoint endPointSnapshot, SocketAddress socketAddress)
   at System.Net.Sockets.Socket.Bind(EndPoint localEP)
   at System.Net.Sockets.TcpListener.Start(Int32 backlog)
   at IconP1MVmixBridge.BridgeApiServer.Start(Int32 port)
   at IconP1MVmixBridge.MainForm.StartApiServer()
2026-06-02 14:02:37.407 [INFO] Configured app to start with Windows
2026-06-02 14:02:37.412 [INFO] Saved profile to C:\Users\THEDUDERACK\AppData\Local\IconP1MVmixBridge\profile.json
2026-06-02 14:02:37.648 [DEBUG] Motor feedback ch 3: 91% raw 14909; reason=vMix poll logical ch 3; force=False; suppress incoming until 14:02:38.648
2026-06-02 14:02:37.648 [DEBUG] Motor feedback ch 7: 5% raw 819; reason=vMix poll logical ch 7; force=False; suppress incoming until 14:02:38.648
2026-06-02 14:03:17.528 [INFO] Configured app to start with Windows
2026-06-02 14:03:17.528 [INFO] Saved profile to C:\Users\THEDUDERACK\AppData\Local\IconP1MVmixBridge\profile.json
2026-06-02 14:03:17.548 [INFO] Opened MIDI input iCON P1-M
2026-06-02 14:03:17.568 [INFO] Opened MIDI output iCON P1-M
2026-06-02 14:03:17.571 [INFO] Bridge connected
2026-06-02 14:03:17.584 [DEBUG] Sent iCON display colors: Red, Green, Blue, Orange, Pink, Pink, Pink, Blue
2026-06-02 14:03:17.585 [DEBUG] Motor feedback ch 2: 2% raw 328; reason=vMix poll logical ch 2; force=False; suppress incoming until 14:03:18.585
2026-06-02 14:03:17.585 [DEBUG] Motor feedback ch 3: 0% raw 0; reason=vMix poll logical ch 3; force=False; suppress incoming until 14:03:18.585
2026-06-02 14:03:36.694 [DEBUG] MIDI received: status 90, data1 6D, data2 7F, channel 1, command 90
2026-06-02 14:03:36.694 [DEBUG] MIDI fader touch ch 6: on
2026-06-02 14:03:36.813 [DEBUG] MIDI received: status 90, data1 6A, data2 7F, channel 1, command 90
2026-06-02 14:03:36.813 [DEBUG] MIDI fader touch ch 3: on
2026-06-02 14:03:36.861 [DEBUG] MIDI received: status E2, data1 24, data2 01, channel 3, command E0
2026-06-02 14:03:36.862 [DEBUG] MIDI fader physical ch 3, logical ch 3: 1% raw 164; touched=True
2026-06-02 14:03:36.866 [DEBUG] vMix HTTP fader command sent. Function=SetVolume, Input=649366ac-21fd-4181-b0be-934deafea94f, Value=1
2026-06-02 14:03:36.867 [DEBUG] MIDI received: status E2, data1 44, data2 01, channel 3, command E0
2026-06-02 14:03:36.867 [DEBUG] Ignored duplicate fader ch 3: 1.2% raw 196; last sent 1%
2026-06-02 14:03:36.872 [DEBUG] MIDI received: status E2, data1 5C, data2 01, channel 3, command E0
2026-06-02 14:03:36.872 [DEBUG] MIDI fader physical ch 3, logical ch 3: 1.34% raw 220; touched=True
2026-06-02 14:03:36.877 [DEBUG] MIDI received: status E2, data1 0C, data2 02, channel 3, command E0
2026-06-02 14:03:36.877 [DEBUG] MIDI fader physical ch 3, logical ch 3: 1.64% raw 268; touched=True
2026-06-02 14:03:36.882 [DEBUG] MIDI received: status E2, data1 20, data2 02, channel 3, command E0
2026-06-02 14:03:36.883 [DEBUG] MIDI fader physical ch 3, logical ch 3: 1.76% raw 288; touched=True
2026-06-02 14:03:36.888 [DEBUG] MIDI received: status E2, data1 4C, data2 02, channel 3, command E0
2026-06-02 14:03:36.888 [DEBUG] MIDI fader physical ch 3, logical ch 3: 2.03% raw 332; touched=True
2026-06-02 14:03:36.893 [DEBUG] MIDI received: status E2, data1 70, data2 02, channel 3, command E0
2026-06-02 14:03:36.893 [DEBUG] MIDI fader physical ch 3, logical ch 3: 2.25% raw 368; touched=True
2026-06-02 14:03:36.899 [DEBUG] MIDI received: status E2, data1 14, data2 03, channel 3, command E0
2026-06-02 14:03:36.899 [DEBUG] MIDI fader physical ch 3, logical ch 3: 2.47% raw 404; touched=True
2026-06-02 14:03:36.904 [DEBUG] MIDI received: status E2, data1 44, data2 03, channel 3, command E0
2026-06-02 14:03:36.904 [DEBUG] MIDI fader physical ch 3, logical ch 3: 2.76% raw 452; touched=True
2026-06-02 14:03:36.909 [DEBUG] MIDI received: status E2, data1 78, data2 03, channel 3, command E0
2026-06-02 14:03:36.909 [DEBUG] MIDI fader physical ch 3, logical ch 3: 3.08% raw 504; touched=True
2026-06-02 14:03:36.915 [DEBUG] MIDI received: status E2, data1 2C, data2 04, channel 3, command E0
2026-06-02 14:03:36.915 [DEBUG] MIDI fader physical ch 3, logical ch 3: 3.39% raw 556; touched=True
2026-06-02 14:03:36.920 [DEBUG] MIDI received: status E2, data1 5C, data2 04, channel 3, command E0
2026-06-02 14:03:36.920 [DEBUG] MIDI fader physical ch 3, logical ch 3: 3.69% raw 604; touched=True
2026-06-02 14:03:36.925 [DEBUG] MIDI received: status E2, data1 10, data2 05, channel 3, command E0
2026-06-02 14:03:36.925 [DEBUG] MIDI fader physical ch 3, logical ch 3: 4% raw 656; touched=True
2026-06-02 14:03:36.930 [DEBUG] MIDI received: status E2, data1 58, data2 05, channel 3, command E0
2026-06-02 14:03:36.930 [DEBUG] MIDI fader physical ch 3, logical ch 3: 4.44% raw 728; touched=True
2026-06-02 14:03:36.935 [DEBUG] MIDI received: status E2, data1 18, data2 06, channel 3, command E0
2026-06-02 14:03:36.935 [DEBUG] MIDI fader physical ch 3, logical ch 3: 4.83% raw 792; touched=True
2026-06-02 14:03:36.940 [DEBUG] vMix HTTP fader command sent. Function=SetVolume, Input=649366ac-21fd-4181-b0be-934deafea94f, Value=5
2026-06-02 14:03:36.941 [DEBUG] MIDI received: status E2, data1 68, data2 06, channel 3, command E0
2026-06-02 14:03:36.941 [DEBUG] MIDI fader physical ch 3, logical ch 3: 5.32% raw 872; touched=True
2026-06-02 14:03:36.946 [DEBUG] MIDI received: status E2, data1 30, data2 07, channel 3, command E0
2026-06-02 14:03:36.946 [DEBUG] MIDI fader physical ch 3, logical ch 3: 5.76% raw 944; touched=True
2026-06-02 14:03:36.952 [DEBUG] MIDI received: status E2, data1 00, data2 08, channel 3, command E0
2026-06-02 14:03:36.952 [DEBUG] MIDI fader physical ch 3, logical ch 3: 6.25% raw 1024; touched=True
2026-06-02 14:03:36.957 [DEBUG] MIDI received: status E2, data1 48, data2 08, channel 3, command E0
2026-06-02 14:03:36.957 [DEBUG] MIDI fader physical ch 3, logical ch 3: 6.69% raw 1096; touched=True
2026-06-02 14:03:36.962 [DEBUG] MIDI received: status E2, data1 24, data2 09, channel 3, command E0
2026-06-02 14:03:36.962 [DEBUG] MIDI fader physical ch 3, logical ch 3: 7.25% raw 1188; touched=True
2026-06-02 14:03:36.967 [DEBUG] MIDI received: status E2, data1 74, data2 09, channel 3, command E0
2026-06-02 14:03:36.967 [DEBUG] MIDI fader physical ch 3, logical ch 3: 7.74% raw 1268; touched=True
2026-06-02 14:03:36.973 [DEBUG] MIDI received: status E2, data1 54, data2 0A, channel 3, command E0
